filename, true, pred
001.mp4,angry,disgust
002.mp4,angry,angry
003.mp4,angry,angry
004.mp4,angry,angry
005.mp4,angry,angry
006.mp4,angry,angry
007.mp4,angry,angry
008.mp4,angry,angry
009.mp4,angry,angry
010.mp4,angry,angry
011.mp4,angry,angry
012.mp4,angry,angry
013.mp4,angry,angry
014.mp4,angry,angry
015.mp4,angry,angry
016.mp4,angry,angry
017.mp4,angry,angry
018.mp4,angry,angry
019.mp4,angry,angry
020.mp4,angry,angry
021.mp4,angry,angry
022.mp4,angry,angry
023.mp4,angry,angry
024.mp4,angry,surprise
025.mp4,angry,neutral
026.mp4,angry,neutral
027.mp4,angry,neutral
028.mp4,angry,angry
029.mp4,angry,angry
030.mp4,angry,angry
001.mp4,angry,disgust
002.mp4,angry,happy
003.mp4,angry,angry
004.mp4,angry,disgust
005.mp4,angry,angry
006.mp4,angry,angry
007.mp4,angry,angry
008.mp4,angry,angry
009.mp4,angry,disgust
010.mp4,angry,angry
011.mp4,angry,angry
012.mp4,angry,angry
013.mp4,angry,angry
014.mp4,angry,angry
015.mp4,angry,disgust
016.mp4,angry,disgust
017.mp4,angry,disgust
018.mp4,angry,angry
019.mp4,angry,angry
020.mp4,angry,angry
021.mp4,angry,angry
022.mp4,angry,angry
023.mp4,angry,angry
024.mp4,angry,disgust
025.mp4,angry,disgust
026.mp4,angry,disgust
027.mp4,angry,angry
028.mp4,angry,angry
029.mp4,angry,angry
030.mp4,angry,angry
001.mp4,angry,disgust
002.mp4,angry,happy
003.mp4,angry,disgust
004.mp4,angry,angry
005.mp4,angry,disgust
006.mp4,angry,disgust
007.mp4,angry,disgust
008.mp4,angry,angry
009.mp4,angry,disgust
010.mp4,angry,disgust
011.mp4,angry,disgust
012.mp4,angry,angry
013.mp4,angry,disgust
014.mp4,angry,angry
015.mp4,angry,disgust
016.mp4,angry,disgust
017.mp4,angry,disgust
018.mp4,angry,angry
019.mp4,angry,angry
020.mp4,angry,disgust
021.mp4,angry,disgust
022.mp4,angry,angry
023.mp4,angry,disgust
024.mp4,angry,disgust
025.mp4,angry,disgust
026.mp4,angry,disgust
027.mp4,angry,disgust
028.mp4,angry,angry
029.mp4,angry,disgust
030.mp4,angry,disgust
001.mp4,disgust,disgust
002.mp4,disgust,disgust
003.mp4,disgust,disgust
004.mp4,disgust,disgust
005.mp4,disgust,disgust
006.mp4,disgust,disgust
007.mp4,disgust,disgust
008.mp4,disgust,disgust
009.mp4,disgust,disgust
010.mp4,disgust,disgust
011.mp4,disgust,disgust
012.mp4,disgust,disgust
013.mp4,disgust,disgust
014.mp4,disgust,disgust
015.mp4,disgust,disgust
016.mp4,disgust,disgust
017.mp4,disgust,disgust
018.mp4,disgust,disgust
019.mp4,disgust,disgust
020.mp4,disgust,disgust
021.mp4,disgust,disgust
022.mp4,disgust,disgust
023.mp4,disgust,disgust
024.mp4,disgust,disgust
025.mp4,disgust,disgust
026.mp4,disgust,disgust
027.mp4,disgust,disgust
028.mp4,disgust,disgust
029.mp4,disgust,disgust
030.mp4,disgust,disgust
001.mp4,disgust,disgust
002.mp4,disgust,disgust
003.mp4,disgust,disgust
004.mp4,disgust,disgust
005.mp4,disgust,disgust
006.mp4,disgust,disgust
007.mp4,disgust,disgust
008.mp4,disgust,disgust
009.mp4,disgust,disgust
010.mp4,disgust,disgust
011.mp4,disgust,disgust
012.mp4,disgust,disgust
013.mp4,disgust,disgust
014.mp4,disgust,disgust
015.mp4,disgust,disgust
016.mp4,disgust,disgust
017.mp4,disgust,disgust
018.mp4,disgust,disgust
019.mp4,disgust,disgust
020.mp4,disgust,disgust
021.mp4,disgust,disgust
022.mp4,disgust,disgust
023.mp4,disgust,disgust
024.mp4,disgust,disgust
025.mp4,disgust,disgust
026.mp4,disgust,disgust
027.mp4,disgust,disgust
028.mp4,disgust,disgust
029.mp4,disgust,disgust
001.mp4,disgust,disgust
002.mp4,disgust,disgust
003.mp4,disgust,disgust
004.mp4,disgust,disgust
005.mp4,disgust,disgust
006.mp4,disgust,disgust
007.mp4,disgust,disgust
008.mp4,disgust,disgust
009.mp4,disgust,disgust
010.mp4,disgust,disgust
011.mp4,disgust,disgust
012.mp4,disgust,disgust
013.mp4,disgust,disgust
014.mp4,disgust,disgust
015.mp4,disgust,disgust
016.mp4,disgust,disgust
017.mp4,disgust,disgust
018.mp4,disgust,disgust
019.mp4,disgust,disgust
020.mp4,disgust,disgust
021.mp4,disgust,disgust
022.mp4,disgust,disgust
023.mp4,disgust,disgust
024.mp4,disgust,disgust
025.mp4,disgust,disgust
026.mp4,disgust,disgust
027.mp4,disgust,disgust
028.mp4,disgust,disgust
029.mp4,disgust,disgust
030.mp4,disgust,disgust
001.mp4,fear,surprise
002.mp4,fear,surprise
003.mp4,fear,surprise
004.mp4,fear,surprise
005.mp4,fear,surprise
006.mp4,fear,surprise
007.mp4,fear,surprise
008.mp4,fear,neutral
009.mp4,fear,neutral
010.mp4,fear,surprise
011.mp4,fear,surprise
012.mp4,fear,surprise
013.mp4,fear,surprise
014.mp4,fear,neutral
015.mp4,fear,surprise
016.mp4,fear,surprise
017.mp4,fear,surprise
018.mp4,fear,surprise
019.mp4,fear,surprise
020.mp4,fear,surprise
021.mp4,fear,surprise
022.mp4,fear,surprise
023.mp4,fear,surprise
024.mp4,fear,surprise
025.mp4,fear,surprise
026.mp4,fear,surprise
027.mp4,fear,surprise
028.mp4,fear,surprise
029.mp4,fear,surprise
030.mp4,fear,surprise
001.mp4,fear,surprise
002.mp4,fear,surprise
003.mp4,fear,surprise
004.mp4,fear,surprise
005.mp4,fear,surprise
006.mp4,fear,surprise
007.mp4,fear,surprise
008.mp4,fear,surprise
009.mp4,fear,surprise
010.mp4,fear,surprise
011.mp4,fear,surprise
012.mp4,fear,surprise
013.mp4,fear,surprise
014.mp4,fear,surprise
015.mp4,fear,surprise
016.mp4,fear,surprise
017.mp4,fear,surprise
018.mp4,fear,surprise
019.mp4,fear,surprise
020.mp4,fear,surprise
021.mp4,fear,surprise
022.mp4,fear,surprise
023.mp4,fear,surprise
024.mp4,fear,surprise
025.mp4,fear,surprise
026.mp4,fear,surprise
027.mp4,fear,surprise
028.mp4,fear,surprise
029.mp4,fear,surprise
030.mp4,fear,surprise
001.mp4,fear,surprise
002.mp4,fear,surprise
003.mp4,fear,fear
004.mp4,fear,angry
005.mp4,fear,surprise
006.mp4,fear,surprise
007.mp4,fear,surprise
008.mp4,fear,surprise
009.mp4,fear,surprise
010.mp4,fear,surprise
011.mp4,fear,surprise
012.mp4,fear,surprise
013.mp4,fear,surprise
014.mp4,fear,surprise
015.mp4,fear,surprise
016.mp4,fear,surprise
017.mp4,fear,surprise
